site.sp,site,bin,Case
BCI.Sylvilagus brasiliensis,BCI,Sylvilagus brasiliensis,binomial
BCI.Geotrygon montana,BCI,Geotrygon montana,binomial
BCI.Neomorphus geoffroyi,BCI,Neomorphus geoffroyi,binomial
BCI.Procyon cancrivorus,BCI,Procyon cancrivorus,binomial
BCI.Aramides cajaneus,BCI,Aramides cajaneus,binomial
BCI.Canis latrans,BCI,Canis latrans,binomial
BCI.Leopardus wiedii,BCI,Leopardus wiedii,binomial
BCI.Cabassous centralis,BCI,Cabassous centralis,binomial
BCI.Philander opossum,BCI,Philander opossum,binomial
BCI.Odontophorus gujanensis,BCI,Odontophorus gujanensis,binomial
BCI.Hoplomys gymnurus,BCI,Hoplomys gymnurus,binomial
BCI.Nasua nasua,BCI,Nasua nasua,binomial
BCI.Puma yagouaroundi,BCI,Puma yagouaroundi,binomial
BCI.Penelope purpurascens,BCI,Penelope purpurascens,binomial
BCI.Leptotila verreauxi,BCI,Leptotila verreauxi,binomial
YAN.Tamandua tetradactyla,YAN,Tamandua tetradactyla,binomial
YAN.Tremarctos ornatus,YAN,Tremarctos ornatus,binomial
YAN.Leopardus wiedii,YAN,Leopardus wiedii,binomial
YAN.Penelope jacquacu,YAN,Penelope jacquacu,binomial
YAN.Didelphis marsupialis,YAN,Didelphis marsupialis,binomial
YAN.Puma concolor,YAN,Puma concolor,binomial
YAN.Neomorphus geoffroyi,YAN,Neomorphus geoffroyi,binomial
YAN.Panthera onca,YAN,Panthera onca,binomial
YAN.Tinamus major,YAN,Tinamus major,binomial
YAN.Procyon cancrivorus,YAN,Procyon cancrivorus,binomial
YAN.Tinamus guttatus,YAN,Tinamus guttatus,binomial
YAN.Metachirus nudicaudatus,YAN,Metachirus nudicaudatus,binomial
YAN.Geotrygon frenata,YAN,Geotrygon frenata,binomial
YAN.Dasypus kappleri,YAN,Dasypus kappleri,binomial
YAN.Myrmecophaga tridactyla,YAN,Myrmecophaga tridactyla,binomial
YAN.Puma yagouaroundi,YAN,Puma yagouaroundi,binomial
COU.Nasua nasua,COU,Nasua nasua,binomial
COU.Crypturellus bartletti,COU,Crypturellus bartletti,binomial
COU.Geotrygon violacea,COU,Geotrygon violacea,binomial
COU.Puma yagouaroundi,COU,Puma yagouaroundi,binomial
COU.Atelocynus microtis,COU,Atelocynus microtis,binomial
COU.Hydrochoerus hydrochaeris,COU,Hydrochoerus hydrochaeris,binomial
COU.Leopardus wiedii,COU,Leopardus wiedii,binomial
COU.Sciurus spadiceus,COU,Sciurus spadiceus,binomial
COU.Priodontes maximus,COU,Priodontes maximus,binomial
COU.Sciurus igniventris,COU,Sciurus igniventris,binomial
COU.Geotrygon montana,COU,Geotrygon montana,binomial
COU.Neomorphus geoffroyi,COU,Neomorphus geoffroyi,binomial
COU.Crypturellus undulatus,COU,Crypturellus undulatus,binomial
COU.Procyon cancrivorus,COU,Procyon cancrivorus,binomial
COU.Tinamus guttatus,COU,Tinamus guttatus,binomial
COU.Pteronura brasiliensis,COU,Pteronura brasiliensis,binomial
COU.Tamandua tetradactyla,COU,Tamandua tetradactyla,binomial
COU.Crypturellus variegatus,COU,Crypturellus variegatus,binomial
COU.Leopardus tigrinus,COU,Leopardus tigrinus,binomial
COU.Crypturellus cinereus,COU,Crypturellus cinereus,binomial
COU.Sylvilagus brasiliensis,COU,Sylvilagus brasiliensis,binomial
KRP.Canirallus oculeus,KRP,Canirallus oculeus,binomial
KRP.Hyemoschus aquaticus,KRP,Hyemoschus aquaticus,binomial
KRP.Bdeogale nigripes,KRP,Bdeogale nigripes,binomial
KRP.Cercopithecus nictitans,KRP,Cercopithecus nictitans,binomial
KRP.Loxodonta africana,KRP,Loxodonta africana,binomial
KRP.Cephalophus silvicultor,KRP,Cephalophus silvicultor,binomial
KRP.Picathartes oreas,KRP,Picathartes oreas,binomial
PSH.Chalcophaps indica,PSH,Chalcophaps indica,binomial
PSH.Pardofelis marmorata,PSH,Pardofelis marmorata,binomial
PSH.Hemigalus derbyanus,PSH,Hemigalus derbyanus,binomial
PSH.Pardofelis temminckii,PSH,Pardofelis temminckii,binomial
PSH.Sundasciurus hippurus,PSH,Sundasciurus hippurus,binomial
PSH.Echinosorex gymnura,PSH,Echinosorex gymnura,binomial
PSH.Rusa unicolor,PSH,Rusa unicolor,binomial
PSH.Lophura ignita,PSH,Lophura ignita,binomial
PSH.Callosciurus erythraeus,PSH,Callosciurus erythraeus,binomial
PSH.Herpestes brachyurus,PSH,Herpestes brachyurus,binomial
PSH.Prionodon linsang,PSH,Prionodon linsang,binomial
PSH.Arctictis binturong,PSH,Arctictis binturong,binomial
PSH.Prionailurus bengalensis,PSH,Prionailurus bengalensis,binomial
PSH.Neofelis nebulosa,PSH,Neofelis nebulosa,binomial
PSH.Prionailurus planiceps,PSH,Prionailurus planiceps,binomial
PSH.Rhinosciurus laticaudatus,PSH,Rhinosciurus laticaudatus,binomial
PSH.Panthera pardus,PSH,Panthera pardus,binomial
PSH.Capricornis sumatraensis,PSH,Capricornis sumatraensis,binomial
PSH.Helarctos malayanus,PSH,Helarctos malayanus,binomial
PSH.Manis javanica,PSH,Manis javanica,binomial
PSH.Presbytis siamensis,PSH,Presbytis siamensis,binomial
PSH.Argusianus argus,PSH,Argusianus argus,binomial
PSH.Cuon alpinus,PSH,Cuon alpinus,binomial
PSH.Viverra zibetha,PSH,Viverra zibetha,binomial
PSH.Muntiacus montanus,PSH,Muntiacus montanus,binomial
PSH.Rhizomys sumatrensis,PSH,Rhizomys sumatrensis,binomial
PSH.Gallus gallus,PSH,Gallus gallus,binomial
PSH.Martes flavigula,PSH,Martes flavigula,binomial
PSH.Paguma larvata,PSH,Paguma larvata,binomial
NA.NA,NA.,A,binomial
