site.sp,site,bin,Case
KRP.Atherurus africanus,KRP,Atherurus africanus,simple
KRP.Cephalophus ogilbyi,KRP,Cephalophus ogilbyi,simple
KRP.Himantornis haematopus,KRP,Himantornis haematopus,simple
KRP.Funisciurus leucogenys,KRP,Funisciurus leucogenys,simple
KRP.Agelastes niger,KRP,Agelastes niger,simple
PSH.Leopoldamys sabanus,PSH,Leopoldamys sabanus,simple
PSH.Muntiacus muntjak,PSH,Muntiacus muntjak,simple
PSH.Macaca nemestrina,PSH,Macaca nemestrina,simple
PSH.Sus scrofa,PSH,Sus scrofa,simple
PSH.Tragulus kanchil,PSH,Tragulus kanchil,simple
NA.NA,NA.,A,simple
CAX.Didelphis marsupialis,CAX,Didelphis marsupialis,constant
CAX.Nasua nasua,CAX,Nasua nasua,constant
CAX.Metachirus nudicaudatus,CAX,Metachirus nudicaudatus,constant
CAX.Puma concolor,CAX,Puma concolor,constant
CAX.Leopardus pardalis,CAX,Leopardus pardalis,constant
CAX.Panthera onca,CAX,Panthera onca,constant
CAX.Pecari tajacu,CAX,Pecari tajacu,constant
CAX.Tapirus terrestris,CAX,Tapirus terrestris,constant
CAX.Myrmecophaga tridactyla,CAX,Myrmecophaga tridactyla,constant
CAX.Eira barbara,CAX,Eira barbara,constant
CAX.Mitu tuberosum,CAX,Mitu tuberosum,constant
CSN.Crypturellus variegatus,CSN,Crypturellus variegatus,constant
CSN.Pecari tajacu,CSN,Pecari tajacu,constant
CSN.Proechimys guyannensis,CSN,Proechimys guyannensis,constant
CSN.Metachirus nudicaudatus,CSN,Metachirus nudicaudatus,constant
CSN.Dasypus kappleri,CSN,Dasypus kappleri,constant
CSN.Myrmecophaga tridactyla,CSN,Myrmecophaga tridactyla,constant
CSN.Panthera onca,CSN,Panthera onca,constant
CSN.Priodontes maximus,CSN,Priodontes maximus,constant
CSN.Leopardus wiedii,CSN,Leopardus wiedii,constant
CSN.Leptotila rufaxilla,CSN,Leptotila rufaxilla,constant
CSN.Philander opossum,CSN,Philander opossum,constant
CSN.Tinamus major,CSN,Tinamus major,constant
CSN.Puma concolor,CSN,Puma concolor,constant
CSN.Leopardus pardalis,CSN,Leopardus pardalis,constant
CSN.Mazama nemorivaga,CSN,Mazama nemorivaga,constant
MAS.Crypturellus variegatus,MAS,Crypturellus variegatus,constant
MAS.Crax alector,MAS,Crax alector,constant
MAS.Philander opossum,MAS,Philander opossum,constant
MAS.Tinamus major,MAS,Tinamus major,constant
MAS.Geotrygon montana,MAS,Geotrygon montana,constant
MAS.Leopardus pardalis,MAS,Leopardus pardalis,constant
MAS.Mazama nemorivaga,MAS,Mazama nemorivaga,constant
MAS.Tapirus terrestris,MAS,Tapirus terrestris,constant
MAS.Myrmecophaga tridactyla,MAS,Myrmecophaga tridactyla,constant
MAS.Eira barbara,MAS,Eira barbara,constant
VB_.Leopardus pardalis,VB_,Leopardus pardalis,constant
VB_.Crax rubra,VB_,Crax rubra,constant
VB_.Mazama temama,VB_,Mazama temama,constant
BIF.Genetta servalina,BIF,Genetta servalina,constant
BIF.Caracal aurata,BIF,Caracal aurata,constant
BIF.Pan troglodytes,BIF,Pan troglodytes,constant
BIF.Papio anubis,BIF,Papio anubis,constant
BIF.Potamochoerus larvatus,BIF,Potamochoerus larvatus,constant
BIF.Cricetomys gambianus,BIF,Cricetomys gambianus,constant
BIF.Francolinus nobilis,BIF,Francolinus nobilis,constant
BBS.Tapirus indicus,BBS,Tapirus indicus,constant
BBS.Tragulus javanicus,BBS,Tragulus javanicus,constant
BBS.Tragulus napu,BBS,Tragulus napu,constant
BBS.Rusa unicolor,BBS,Rusa unicolor,constant
NAK.Paradoxurus hermaphroditus,NAK,Paradoxurus hermaphroditus,constant
NAK.Lophura diardi,NAK,Lophura diardi,constant
NAK.Macaca leonina,NAK,Macaca leonina,constant
NAK.Sus scrofa,NAK,Sus scrofa,constant
NAK.Tragulus kanchil,NAK,Tragulus kanchil,constant
NNN.Bdeogale nigripes,NNN,Bdeogale nigripes,constant
NNN.Genetta servalina,NNN,Genetta servalina,constant
NNN.Francolinus lathami,NNN,Francolinus lathami,constant
NNN.Genetta tigrina,NNN,Genetta tigrina,constant
NNN.Caracal aurata,NNN,Caracal aurata,constant
NNN.Cercocebus agilis,NNN,Cercocebus agilis,constant
NNN.Atherurus africanus,NNN,Atherurus africanus,constant
NNN.Atilax paludinosus,NNN,Atilax paludinosus,constant
NNN.Herpestes naso,NNN,Herpestes naso,constant
NNN.Agelastes niger,NNN,Agelastes niger,constant
NNN.Guttera plumifera,NNN,Guttera plumifera,constant
NNN.Panthera pardus,NNN,Panthera pardus,constant
YAS.Crypturellus variegatus,YAS,Crypturellus variegatus,constant
YAS.Mitu salvini,YAS,Mitu salvini,constant
YAS.Nasua nasua,YAS,Nasua nasua,constant
YAS.Puma yagouaroundi,YAS,Puma yagouaroundi,constant
YAS.Myrmecophaga tridactyla,YAS,Myrmecophaga tridactyla,constant
YAS.Odontophorus gujanensis,YAS,Odontophorus gujanensis,constant
YAS.Eira barbara,YAS,Eira barbara,constant
YAS.Atelocynus microtis,YAS,Atelocynus microtis,constant
YAS.Geotrygon montana,YAS,Geotrygon montana,constant
YAS.Puma concolor,YAS,Puma concolor,constant
YAS.Penelope jacquacu,YAS,Penelope jacquacu,constant
YAS.Nothocrax urumutum,YAS,Nothocrax urumutum,constant
RNF.Canirallus kioloides,RNF,Canirallus kioloides,constant
RNF.Coua reynaudii,RNF,Coua reynaudii,constant
RNF.Lophotibis cristata,RNF,Lophotibis cristata,constant
RNF.Galidictis fasciata,RNF,Galidictis fasciata,constant
RNF.Tenrec ecaudatus,RNF,Tenrec ecaudatus,constant
RNF.Rattus rattus,RNF,Rattus rattus,constant
RNF.Potamochoerus larvatus,RNF,Potamochoerus larvatus,constant
RNF.Cryptoprocta ferox,RNF,Cryptoprocta ferox,constant
RNF.Galidia elegans,RNF,Galidia elegans,constant
UDZ.Aplopelia larvata,UDZ,Aplopelia larvata,constant
UDZ.Nandinia binotata,UDZ,Nandinia binotata,constant
UDZ.Potamochoerus larvatus,UDZ,Potamochoerus larvatus,constant
UDZ.Cercopithecus mitis,UDZ,Cercopithecus mitis,constant
UDZ.Mellivora capensis,UDZ,Mellivora capensis,constant
UDZ.Loxodonta africana,UDZ,Loxodonta africana,constant
BCI.Sciurus granatensis,BCI,Sciurus granatensis,constant
BCI.Leptotila cassini,BCI,Leptotila cassini,constant
BCI.Leopardus pardalis,BCI,Leopardus pardalis,constant
BCI.Metachirus nudicaudatus,BCI,Metachirus nudicaudatus,constant
BCI.Tamandua mexicana,BCI,Tamandua mexicana,constant
BCI.Crax rubra,BCI,Crax rubra,constant
BCI.Eira barbara,BCI,Eira barbara,constant
YAN.Tinamus tao,YAN,Tinamus tao,constant
YAN.Leopardus pardalis,YAN,Leopardus pardalis,constant
YAN.Sciurus spadiceus,YAN,Sciurus spadiceus,constant
YAN.Mazama americana,YAN,Mazama americana,constant
YAN.Eira barbara,YAN,Eira barbara,constant
YAN.Nasua nasua,YAN,Nasua nasua,constant
YAN.Pecari tajacu,YAN,Pecari tajacu,constant
COU.Dasypus kappleri,COU,Dasypus kappleri,constant
COU.Dasypus novemcinctus,COU,Dasypus novemcinctus,constant
COU.Eira barbara,COU,Eira barbara,constant
COU.Myrmecophaga tridactyla,COU,Myrmecophaga tridactyla,constant
COU.Puma concolor,COU,Puma concolor,constant
COU.Penelope jacquacu,COU,Penelope jacquacu,constant
COU.Sciurus ignitus,COU,Sciurus ignitus,constant
COU.Panthera onca,COU,Panthera onca,constant
COU.Tayassu pecari,COU,Tayassu pecari,constant
COU.Odontophorus stellatus,COU,Odontophorus stellatus,constant
COU.Aramides cajaneus,COU,Aramides cajaneus,constant
COU.Leptotila rufaxilla,COU,Leptotila rufaxilla,constant
COU.Philander opossum,COU,Philander opossum,constant
COU.Tinamus tao,COU,Tinamus tao,constant
COU.Crypturellus soui,COU,Crypturellus soui,constant
KRP.Phataginus tricuspis,KRP,Phataginus tricuspis,constant
KRP.Francolinus lathami,KRP,Francolinus lathami,constant
KRP.Nandinia binotata,KRP,Nandinia binotata,constant
KRP.Potamochoerus porcus,KRP,Potamochoerus porcus,constant
KRP.Herpestes naso,KRP,Herpestes naso,constant
KRP.Funisciurus anerythrus,KRP,Funisciurus anerythrus,constant
KRP.Funisciurus pyrropus,KRP,Funisciurus pyrropus,constant
KRP.Mandrillus leucophaeus,KRP,Mandrillus leucophaeus,constant
KRP.Cercocebus torquatus,KRP,Cercocebus torquatus,constant
KRP.Crossarchus obscurus,KRP,Crossarchus obscurus,constant
PSH.Macaca fascicularis,PSH,Macaca fascicularis,constant
PSH.Tapirus indicus,PSH,Tapirus indicus,constant
PSH.Lariscus insignis,PSH,Lariscus insignis,constant
PSH.Tupaia glis,PSH,Tupaia glis,constant
PSH.Atherurus macrourus,PSH,Atherurus macrourus,constant
PSH.Hystrix brachyura,PSH,Hystrix brachyura,constant
NA.NA,NA.,A,constant
CAX.Tinamus major,CAX,Tinamus major,binomial
CAX.Tinamus tao,CAX,Tinamus tao,binomial
CAX.Tinamus guttatus,CAX,Tinamus guttatus,binomial
CAX.Penelope superciliaris,CAX,Penelope superciliaris,binomial
CAX.Priodontes maximus,CAX,Priodontes maximus,binomial
CAX.Crypturellus strigulosus,CAX,Crypturellus strigulosus,binomial
CAX.Puma yagouaroundi,CAX,Puma yagouaroundi,binomial
CAX.Tayassu pecari,CAX,Tayassu pecari,binomial
CAX.Tamandua tetradactyla,CAX,Tamandua tetradactyla,binomial
CAX.Leopardus wiedii,CAX,Leopardus wiedii,binomial
CAX.Atelocynus microtis,CAX,Atelocynus microtis,binomial
CAX.Geotrygon montana,CAX,Geotrygon montana,binomial
CAX.Crypturellus soui,CAX,Crypturellus soui,binomial
CAX.Crypturellus variegatus,CAX,Crypturellus variegatus,binomial
CAX.Penelope pileata,CAX,Penelope pileata,binomial
CAX.Cabassous unicinctus,CAX,Cabassous unicinctus,binomial
CSN.Tamandua tetradactyla,CSN,Tamandua tetradactyla,binomial
CSN.Leopardus tigrinus,CSN,Leopardus tigrinus,binomial
CSN.Crypturellus soui,CSN,Crypturellus soui,binomial
CSN.Speothos venaticus,CSN,Speothos venaticus,binomial
CSN.Crypturellus cinereus,CSN,Crypturellus cinereus,binomial
CSN.Geotrygon violacea,CSN,Geotrygon violacea,binomial
CSN.Nasua nasua,CSN,Nasua nasua,binomial
CSN.Puma yagouaroundi,CSN,Puma yagouaroundi,binomial
CSN.Odocoileus virginianus,CSN,Odocoileus virginianus,binomial
CSN.Eira barbara,CSN,Eira barbara,binomial
CSN.Odontophorus gujanensis,CSN,Odontophorus gujanensis,binomial
CSN.Proechimys cuvieri,CSN,Proechimys cuvieri,binomial
CSN.Tayassu pecari,CSN,Tayassu pecari,binomial
CSN.Aramides cajaneus,CSN,Aramides cajaneus,binomial
CSN.Geotrygon montana,CSN,Geotrygon montana,binomial
CSN.Penelope jacquacu,CSN,Penelope jacquacu,binomial
CSN.Procyon cancrivorus,CSN,Procyon cancrivorus,binomial
MAS.Tamandua tetradactyla,MAS,Tamandua tetradactyla,binomial
MAS.Tayassu pecari,MAS,Tayassu pecari,binomial
MAS.Cabassous unicinctus,MAS,Cabassous unicinctus,binomial
MAS.Panthera onca,MAS,Panthera onca,binomial
MAS.Leopardus wiedii,MAS,Leopardus wiedii,binomial
MAS.Puma concolor,MAS,Puma concolor,binomial
MAS.Leptotila verreauxi,MAS,Leptotila verreauxi,binomial
MAS.Nasua nasua,MAS,Nasua nasua,binomial
MAS.Puma yagouaroundi,MAS,Puma yagouaroundi,binomial
MAS.Odontophorus gujanensis,MAS,Odontophorus gujanensis,binomial
VB_.Didelphis marsupialis,VB_,Didelphis marsupialis,binomial
VB_.Panthera onca,VB_,Panthera onca,binomial
VB_.Leopardus wiedii,VB_,Leopardus wiedii,binomial
VB_.Philander opossum,VB_,Philander opossum,binomial
VB_.Tinamus major,VB_,Tinamus major,binomial
VB_.Procyon lotor,VB_,Procyon lotor,binomial
VB_.Nasua narica,VB_,Nasua narica,binomial
VB_.Puma concolor,VB_,Puma concolor,binomial
