Sampling.Unit.Name,Time,Temp.max,Temp.min,Temp.var
CT-VB-3-10,4,16,12,3.044792164
CT-VB-2-15,4,20,20,0
CT-VB-1-14,4,27,20,4.84549775
CT-VB-2-13,4,24,19,2.358249052
CT-VB-3-14,4,17,16,0.25
CT-VB-1-1,4,32,18,8.050660636
CT-VB-2-12,4,21,20,0.3
CT-VB-1-11,4,25,20,3.852439024
CT-VB-1-10,4,26,20,2.517163412
CT-VB-3-13,4,16,14,1.043478261
CT-VB-1-7,4,21,21,0
CT-VB-2-4,4,21,21,0
CT-VB-1-9,4,24,19,1.897233202
CT-VB-2-17,4,22,17,2.773109244
CT-VB-1-3,4,25,23,1.2
CT-VB-2-10,4,23,19,3.913732394
CT-VB-2-3,4,21,19,0.438461538
CT-VB-2-16,4,19,17,0.816176471
CT-VB-3-17,4,12,10,0.536842105
CT-VB-2-2,4,25,19,0.75382263
CT-VB-1-4,4,22,19,2.7
CT-VB-3-5,4,19,17,0.51
CT-VB-3-18,4,12,12,0
CT-VB-2-1,4,25,18,3.426412354
CT-VB-2-9,4,23,20,0.524483504
CT-VB-3-2,4,21,14,3.700374813
CT-VB-2-20,4,21,18,0.989795918
CT-VB-1-19,4,21,20,0.123376623
CT-VB-2-19,4,20,18,0.818181818
CT-VB-3-3,4,24,15,2.423679836
CT-VB-2-18,4,22,20,0.536842105
CT-VB-2-8,4,22,17,2.074912892
CT-VB-1-20,4,23,22,0.3
CT-VB-2-5,4,24,19,2.735100658
CT-VB-3-6,4,20,20,0
CT-VB-3-19,4,12,9,0.848955392
CT-VB-1-18,4,22,21,0.3
CT-VB-2-11,4,21,18,0.939897698
CT-VB-1-8,4,24,18,4.309742647
CT-VB-3-16,4,17,10,3.751260504
CT-VB-1-15,4,22,18,1.444444444
CT-VB-2-7,4,22,18,2.64
CT-VB-3-8,4,17,14,2.1
CT-VB-2-8,5,21,19,0.43877551
CT-VB-3-18,5,13,11,1
CT-VB-2-7,5,22,22,0
CT-VB-2-9,5,21,17,1.880885312
CT-VB-3-4,5,22,19,1.839473684
CT-VB-3-1,5,20,16,1.240243902
CT-VB-2-6,5,22,20,0.97826087
CT-VB-1-10,5,28,19,5.484972321
CT-VB-3-5,5,19,17,0.385589094
CT-VB-2-2,5,26,16,4.562551822
CT-VB-3-2,5,16,16,0
CT-VB-2-1,5,24,16,5.167525196
CT-VB-3-3,5,23,16,5.278957529
CT-VB-1-19,5,25,19,5.213793103
CT-VB-3-19,5,12,10,0.592941176
CT-VB-3-6,5,19,19,0
CT-VB-1-18,5,23,22,0.099206349
CT-VB-1-15,5,25,20,2.457123524
CT-VB-3-8,5,17,14,2.117647059
CT-VB-1-12,5,26,20,3.487058824
CT-VB-1-16,5,25,20,1.665517558
CT-VB-1-5,5,26,23,2.7
CT-VB-1-14,5,28,20,9.391322314
CT-VB-3-11,5,14,14,0
CT-VB-1-11,5,23,21,1.142857143
CT-VB-3-12,5,16,16,0
CT-VB-1-9,5,27,19,8.29047619
CT-VB-1-3,5,29,20,9.640957278
CT-VB-1-7,5,23,20,0.547552448
CT-VB-3-14,5,16,16,0
CT-VB-1-1,5,32,19,8.178238814
CT-VB-1-6,5,25,21,2.037002775
CT-VB-3-16,5,16,12,1.840909091
CT-VB-1-8,5,24,19,2.562929667
CT-VB-2-13,5,21,16,5.882352941
CT-VB-2-12,5,23,18,3.757377049
CT-VB-2-19,5,21,19,0.75
CT-VB-2-10,5,18,18,0
CT-VB-2-15,5,19,19,0
CT-VB-2-9,6,25,19,1.677215926
CT-VB-3-10,6,17,16,0.256410256
CT-VB-1-13,6,26,18,3.172075209
CT-VB-3-4,6,19,18,0.26
CT-VB-1-6,6,24,21,1.063063063
CT-VB-3-16,6,14,12,0.891593638
CT-VB-3-9,6,16,15,0.051209104
CT-VB-1-16,6,25,18,1.926266971
CT-VB-2-7,6,25,22,2
CT-VB-3-8,6,14,14,0
CT-VB-3-7,6,19,17,0.665158371
CT-VB-1-4,6,25,20,2.333333333
CT-VB-1-8,6,23,20,0.545454545
CT-VB-3-17,6,15,9,1.748780488
CT-VB-3-6,6,22,18,3.130434783
CT-VB-1-10,6,27,18,3.59780084
CT-VB-2-4,6,24,21,0.820276498
CT-VB-2-13,6,30,19,5.521140143
CT-VB-2-10,6,23,23,0
CT-VB-3-5,6,23,18,3.676470588
CT-VB-2-16,6,22,20,0.970588235
CT-VB-2-12,6,27,18,10.43034645
CT-VB-2-6,6,24,20,0.917050691
CT-VB-2-8,6,22,18,1.2
CT-VB-1-5,6,25,18,3.459328859
CT-VB-1-9,6,24,16,4.747996201
