Site.Code,Sampling.Unit.Name,Sampling.Period,Temp.Min,Temp.Max,Temp.Var,Year
BIF,CT-BIF-2-21,2010.01,14,22,5.764234162,2011
BIF,CT-BIF-1-26,2010.01,12,20,2.125464743,2011
BIF,CT-BIF-1-05,2010.01,12,18,5.669535284,2011
BIF,CT-BIF-2-22,2010.01,15,21,3.1655123,2011
BIF,CT-BIF-1-28,2010.01,13,17,2.538461538,2011
BIF,CT-BIF-1-24,2010.01,14,16,0.272727273,2011
BIF,CT-BIF-1-25,2010.01,16,20,2.542857143,2011
BIF,CT-BIF-2-18,2010.01,12,22,8.096477309,2011
BIF,CT-BIF-1-29,2010.01,12,14,0.783529412,2011
BIF,CT-BIF-1-06,2010.01,12,16,3.467483336,2011
BIF,CT-BIF-1-30,2010.01,13,16,1.109598523,2011
BIF,CT-BIF-1-13,2010.01,11,17,0.931578947,2011
BIF,CT-BIF-1-15,2010.01,11,22,10.40092792,2011
BIF,CT-BIF-2-23,2010.01,22,22,0,2011
BIF,CT-BIF-2-09,2010.01,14,15,0.1,2011
BIF,CT-BIF-1-08,2010.01,8,16,8.493103448,2011
BIF,CT-BIF-2-19,2011.01,16,22,8,2012
BIF,CT-BIF-1-01,2011.01,11,21,6.250519978,2012
BIF,CT-BIF-1-02,2011.01,13,17,1.183838384,2012
BIF,CT-BIF-1-13,2011.01,9,19,2.811594203,2012
BIF,CT-BIF-1-18,2011.01,11,18,1.415349344,2012
BIF,CT-BIF-1-04,2011.01,12,27,31.69811321,2012
BIF,CT-BIF-1-03,2011.01,11,24,7.128011786,2012
BIF,CT-BIF-1-05,2011.01,11,18,3.359128267,2012
BIF,CT-BIF-1-06,2011.01,12,27,37.99372549,2012
BIF,CT-BIF-1-08,2011.01,9,17,9.271850964,2012
BIF,CT-BIF-1-09,2011.01,12,21,4.425507519,2012
BIF,CT-BIF-1-10,2011.01,14,21,12.11538462,2012
BIF,CT-BIF-1-11,2011.01,7,18,6.924363245,2012
BIF,CT-BIF-1-12,2011.01,17,18,0.153409091,2012
BIF,CT-BIF-1-07,2011.01,13,21,6.273232136,2012
BIF,CT-BIF-1-17,2011.01,12,20,3.350151259,2012
BIF,CT-BIF-1-14,2011.01,18,18,0,2012
BIF,CT-BIF-1-16,2011.01,13,18,3.085585586,2012
BIF,CT-BIF-1-22,2011.01,12,19,4.275650295,2012
BIF,CT-BIF-1-19,2011.01,12,17,2.817486339,2012
BIF,CT-BIF-1-23,2011.01,12,19,3.025433252,2012
BIF,CT-BIF-1-20,2011.01,12,22,5.066635686,2012
BIF,CT-BIF-1-26,2011.01,13,17,1.382947567,2012
BIF,CT-BIF-1-27,2011.01,13,30,16.41119287,2012
BIF,CT-BIF-1-28,2011.01,12,19,3.033289037,2012
BIF,CT-BIF-1-24,2011.01,13,19,2.773139746,2012
BIF,CT-BIF-1-25,2011.01,13,17,1.435945507,2012
BIF,CT-BIF-1-29,2011.01,16,21,2.588435374,2012
BIF,CT-BIF-1-30,2011.01,19,19,0,2012
BIF,CT-BIF-1-15,2011.01,10,23,9.420484911,2012
BIF,CT-BIF-2-09,2011.01,11,20,4.253906968,2012
BIF,CT-BIF-2-01,2011.01,12,19,5.11050103,2012
BIF,CT-BIF-2-02,2011.01,15,22,5.908471276,2012
BIF,CT-BIF-2-04,2011.01,11,21,10.84753592,2012
BIF,CT-BIF-2-03,2011.01,14,23,5.249065929,2012
BIF,CT-BIF-2-05,2011.01,11,20,2.774694337,2012
BIF,CT-BIF-2-08,2011.01,12,19,5.624217527,2012
BIF,CT-BIF-2-06,2011.01,12,24,16.66815742,2012
BIF,CT-BIF-2-12,2011.01,11,21,10.64500942,2012
BIF,CT-BIF-2-15,2011.01,17,19,0.459183673,2012
BIF,CT-BIF-2-14,2011.01,18,20,0.978959025,2012
BIF,CT-BIF-2-16,2011.01,12,27,8.906896552,2012
BIF,CT-BIF-2-10,2011.01,19,19,0,2012
BIF,CT-BIF-2-07,2011.01,11,18,3.122009569,2012
BIF,CT-BIF-2-13,2011.01,17,21,1.646091644,2012
BIF,CT-BIF-2-17,2011.01,12,22,8.34916368,2012
BIF,CT-BIF-2-23,2011.01,16,19,2.313508065,2012
BIF,CT-BIF-2-18,2011.01,14,28,23.36239316,2012
BIF,CT-BIF-2-22,2011.01,14,21,4.351076658,2012
BIF,CT-BIF-2-20,2011.01,15,21,3.314217443,2012
BIF,CT-BIF-2-25,2011.01,15,25,10.5882716,2012
BIF,CT-BIF-2-24,2011.01,12,23,9.71368861,2012
BIF,CT-BIF-2-27,2011.01,15,21,9.24,2012
BIF,CT-BIF-2-28,2011.01,13,22,9.862801932,2012
BIF,CT-BIF-2-29,2011.01,15,23,3.218905473,2012
BIF,CT-BIF-2-26,2011.01,15,23,11.87301587,2012
BIF,CT-BIF-2-30,2011.01,18,22,4.057971014,2012
BIF,CT-BIF-1-02,2012.01,11,17,1.438794794,2013
BIF,CT-BIF-2-02,2012.01,21,21,0,2013
BIF,CT-BIF-2-01,2012.01,11,21,5.174099168,2013
BIF,CT-BIF-2-28,2012.01,16,22,6.091408591,2013
BIF,CT-BIF-2-17,2012.01,17,21,1.388619015,2013
BIF,CT-BIF-2-09,2012.01,13,23,11.71794872,2013
BIF,CT-BIF-1-15,2012.01,10,21,5.959197908,2013
BIF,CT-BIF-1-04,2012.01,10,14,1.351565187,2013
BIF,CT-BIF-2-23,2012.01,18,18,0,2013
BIF,CT-BIF-1-30,2012.01,13,19,5.817986231,2013
BIF,CT-BIF-1-25,2012.01,14,18,0.534146341,2013
BIF,CT-BIF-1-18,2012.01,11,16,1.174739304,2013
BIF,CT-BIF-2-18,2012.01,12,19,2.932180851,2013
BIF,CT-BIF-1-28,2012.01,12,18,6.958525346,2013
BIF,CT-BIF-1-27,2012.01,13,18,1.713774775,2013
BIF,CT-BIF-1-01,2012.01,11,19,4.156996587,2013
BIF,CT-BIF-2-22,2012.01,15,22,4.351893096,2013
BIF,CT-BIF-1-26,2012.01,13,14,0.232358003,2013
BIF,CT-BIF-1-20,2012.01,12,19,4.610458143,2013
BIF,CT-BIF-1-23,2012.01,13,19,2.928144565,2013
