Sampling.Unit,Elevation,ForestLoss,ForestGain,FLossGain,Tmin.2008,Tmin.2009,Tmin.2010,Tmin.2011,Tmin.2012,Tmin.2013,Tmin.2014,Tmax.2008,Tmax.2009,Tmax.2010,Tmax.2011,Tmax.2012,Tmax.2013,Tmax.2014,Tvar.2008,Tvar.2009,Tvar.2010,Tvar.2011,Tvar.2012,Tvar.2013,Tvar.2014
CT-VB-2-7,436,0,0,0,19,16,19,18,18,22,22,24,25,24,25,22,22,25,2.05,16.14449036,3.758241758,6.170150987,2.64,0,2
CT-VB-2-8,383,0,0,0,20,17,19,18,17,19,18,25,26,25,24,22,21,22,2.28,4.821669431,2.533450704,2.8625,2.074912892,0.43877551,1.2
CT-VB-2-9,315,0,0,0,21,19,20,21.11111111,20,17,19,26,26,26.11111111,27.22222222,23,21,25,2.51,2.094566155,5.734767025,1.229806637,0.524483504,1.880885312,1.677215926
CT-VB-3-1,884,0,0,0,18,18,19,NA,18,16,NA,23,20,22,NA,22,20,NA,3.9,0.096774194,1.295454545,NA,3.461785714,1.240243902,NA
CT-VB-3-10,1525,0,0,0,13,12,NA,12,12,NA,16,13,16,NA,16,16,NA,17,0,2.180407801,NA,4.102564103,3.044792164,NA,0.256410256
CT-VB-3-11,1597,0,0,0,15,16,13,14,NA,14,13,18,17,18,17,NA,14,13,1.39,0.255060729,3.090479651,1.854545455,NA,0,0
CT-VB-3-12,1691,0,0,0,13,14,14,9,NA,16,14,15,14,16,15,NA,16,16,0.42,0,1.022727273,6.557142857,NA,0,1.2
CT-VB-3-13,1793,0,0,0,14,14,14,13,14,NA,12,15,15,15,13,16,NA,17,0.03,0.249169435,0.062365591,0,1.043478261,NA,1.97501967
CT-VB-3-14,1873,0,0,0,14,13,14,11,16,16,NA,17,16,16,15,17,16,NA,0.79,0.948717949,0.923076923,0.290859667,0.25,0,NA
CT-VB-3-15,1882,0,0,0,13,14,14,8,11,NA,NA,15,15,18,15,14,NA,NA,0.95,0.146859903,1.064039409,5.586206897,0.874825175,NA,NA
CT-VB-3-16,2026,0,0,0,14,11,NA,11,10,12,12,14,11,NA,11,17,16,14,0,0,NA,0,3.751260504,1.840909091,0.891593638
CT-VB-3-17,2057,0,0,0,12,13,NA,10,10,NA,9,13,17,NA,13,12,NA,15,0.18,1.935981649,NA,1.136054422,0.536842105,NA,1.748780488
CT-VB-3-18,2400,0,0,0,NA,11,11,11,12,11,NA,NA,11,13,11,12,13,NA,NA,0,0.466666667,0,0,1,NA
CT-VB-3-19,2453,0,0,0,8,10,NA,14,9,10,NA,9,11,NA,15,12,12,NA,0.24,0.189189189,NA,0.171428571,0.848955392,0.592941176,NA
CT-VB-3-2,827,0,0,0,20,19,18,NA,14,16,NA,20,20,18,NA,21,16,NA,0,0.238095238,0,NA,3.700374813,0,NA
CT-VB-3-20,2569,0,0,0,9,9,9,5,8,NA,7,12,14,13,12,13,NA,13,0.93,1.83150969,1.428032392,5.758468129,2.03652968,NA,4.114793679
CT-VB-3-3,733,0,0,0,18,NA,19,16,15,16,NA,23,NA,23,19,24,23,NA,3.58,NA,1.824383164,1.21954023,2.423679836,5.278957529,NA
CT-VB-3-4,882,0,0,0,19,18,18,16,NA,19,18,19,21,21,17,NA,22,19,0,1.472727273,0.360627178,0.146520147,NA,1.839473684,0.26
CT-VB-3-5,994,0,0,0,17,17,18,14,17,17,18,18,18,21,21,19,19,23,0.2,0.106153846,1.7265892,6.197368421,0.51,0.385589094,3.676470588
CT-VB-3-6,1096,0,0,0,17,17,17,16,20,19,18,19,21,17,17,20,19,22,0.33,1.444874823,0,0.248296008,0,0,3.130434783
CT-VB-3-7,1205,0,0,0,16,17,17,14,NA,NA,17,18,19,20,21,NA,NA,19,0.37,0.49002849,1.025641026,4.079051383,NA,NA,0.665158371
CT-VB-3-8,1289,0,0,0,NA,16,18,NA,14,14,14,NA,16,18,NA,17,17,14,NA,0,0,NA,2.1,2.117647059,0
CT-VB-3-9,1433,0,0,0,NA,NA,NA,16.11111111,15,NA,15,NA,NA,NA,20.55555556,19,NA,16,NA,NA,NA,3.581603582,2.182696177,NA,0.051209104
