"","sitecode","trap_ID","lat","long","buffer_m","fc_threshold","fc_npix","fc_frac_loss","fc_frac_gain","fc_frac_lossgain"
"60","BBS","CT-BBS-1-20",-5.631419,104.40812,"120m buffer",75,47,0,0,0
"61","BBS","CT-BBS-1-21",-5.631356,104.420909,"30m buffer",75,3,0,0,0
"62","BBS","CT-BBS-1-21",-5.631356,104.420909,"60m buffer",75,12,0,0,0
"63","BBS","CT-BBS-1-21",-5.631356,104.420909,"120m buffer",75,47,0,0,0
"64","BBS","CT-BBS-1-22",-5.630914,104.433444,"30m buffer",75,4,0,0,0
"65","BBS","CT-BBS-1-22",-5.630914,104.433444,"60m buffer",75,13,0,0,0
"66","BBS","CT-BBS-1-22",-5.630914,104.433444,"120m buffer",75,49,0,0,0
"67","BBS","CT-BBS-1-23",-5.631083,104.445986,"30m buffer",75,2,0,0,0
"68","BBS","CT-BBS-1-23",-5.631083,104.445986,"60m buffer",75,12,0,0,0
"69","BBS","CT-BBS-1-23",-5.631083,104.445986,"120m buffer",75,46,0,0,0
"70","BBS","CT-BBS-1-24",-5.618617,104.420956,"30m buffer",75,2,0,0,0
"71","BBS","CT-BBS-1-24",-5.618617,104.420956,"60m buffer",75,12,0,0,0
"72","BBS","CT-BBS-1-24",-5.618617,104.420956,"120m buffer",75,46,0,0,0
"73","BBS","CT-BBS-1-25",-5.618323,104.433665,"30m buffer",75,2,0,0,0
"74","BBS","CT-BBS-1-25",-5.618323,104.433665,"60m buffer",75,10,0,0,0
"75","BBS","CT-BBS-1-25",-5.618323,104.433665,"120m buffer",75,46,0,0,0
"76","BBS","CT-BBS-1-26",-5.618467,104.446149,"30m buffer",75,2,0,0,0
"77","BBS","CT-BBS-1-26",-5.618467,104.446149,"60m buffer",75,14,0,0,0
"78","BBS","CT-BBS-1-26",-5.618467,104.446149,"120m buffer",75,48,0,0,0
"79","BBS","CT-BBS-1-27",-5.618496,104.458847,"30m buffer",75,3,0,0,0
"80","BBS","CT-BBS-1-27",-5.618496,104.458847,"60m buffer",75,13,0,0,0
"81","BBS","CT-BBS-1-27",-5.618496,104.458847,"120m buffer",75,49,0,0,0
"82","BBS","CT-BBS-1-28",-5.605911,104.433704,"30m buffer",75,3,0,0,0
"83","BBS","CT-BBS-1-28",-5.605911,104.433704,"60m buffer",75,13,0,0,0
"84","BBS","CT-BBS-1-28",-5.605911,104.433704,"120m buffer",75,49,0,0,0
"85","BBS","CT-BBS-1-29",-5.605923,104.446186,"30m buffer",75,3,0,0,0
"86","BBS","CT-BBS-1-29",-5.605923,104.446186,"60m buffer",75,13,0,0,0
"87","BBS","CT-BBS-1-29",-5.605923,104.446186,"120m buffer",75,48,0,0,0
"88","BBS","CT-BBS-1-30",-5.605961,104.458913,"30m buffer",75,2,0,0,0
"89","BBS","CT-BBS-1-30",-5.605961,104.458913,"60m buffer",75,12,0,0,0
"90","BBS","CT-BBS-1-30",-5.605961,104.458913,"120m buffer",75,46,0,0,0
"91","BBS","CT-BBS-2-01",-5.71968055,104.50938779,"30m buffer",75,3,0,0,0
"92","BBS","CT-BBS-2-01",-5.71968055,104.50938779,"60m buffer",75,11,0,0,0
"93","BBS","CT-BBS-2-01",-5.71968055,104.50938779,"120m buffer",75,48,0,0,0
"94","BBS","CT-BBS-2-02",-5.70729319,104.50951494,"30m buffer",75,3,0,0,0
"95","BBS","CT-BBS-2-02",-5.70729319,104.50951494,"60m buffer",75,13,0,0,0
"96","BBS","CT-BBS-2-02",-5.70729319,104.50951494,"120m buffer",75,48,0,0,0
"97","BBS","CT-BBS-2-03",-5.70713083,104.52189853,"30m buffer",75,3,0.333333333333333,0,0
"98","BBS","CT-BBS-2-03",-5.70713083,104.52189853,"60m buffer",75,12,0.0833333333333333,0,0
"99","BBS","CT-BBS-2-03",-5.70713083,104.52189853,"120m buffer",75,48,0.0208333333333333,0,0
"100","BBS","CT-BBS-2-04",-5.70754331,104.5347055,"30m buffer",75,3,0,0,0
"101","BBS","CT-BBS-2-04",-5.70754331,104.5347055,"60m buffer",75,11,0,0,0
"102","BBS","CT-BBS-2-04",-5.70754331,104.5347055,"120m buffer",75,46,0,0,0
"103","BBS","CT-BBS-2-05",-5.69387963,104.49573023,"30m buffer",75,2,0,0,0
"104","BBS","CT-BBS-2-05",-5.69387963,104.49573023,"60m buffer",75,12,0,0,0
"105","BBS","CT-BBS-2-05",-5.69387963,104.49573023,"120m buffer",75,46,0,0,0
"106","BBS","CT-BBS-2-06",-5.69461347,104.5093815,"30m buffer",75,3,0,0,0
"107","BBS","CT-BBS-2-06",-5.69461347,104.5093815,"60m buffer",75,13,0,0,0
"108","BBS","CT-BBS-2-06",-5.69461347,104.5093815,"120m buffer",75,49,0,0,0
"109","BBS","CT-BBS-2-07",-5.69429252,104.52164716,"30m buffer",75,2,0,0,0
"110","BBS","CT-BBS-2-07",-5.69429252,104.52164716,"60m buffer",75,12,0,0,0
"111","BBS","CT-BBS-2-07",-5.69429252,104.52164716,"120m buffer",75,46,0,0,0
"112","BBS","CT-BBS-2-08",-5.69435631,104.53449704,"30m buffer",75,3,0,0,0
"113","BBS","CT-BBS-2-08",-5.69435631,104.53449704,"60m buffer",75,13,0,0,0
"114","BBS","CT-BBS-2-08",-5.69435631,104.53449704,"120m buffer",75,49,0,0,0
"115","BBS","CT-BBS-2-09",-5.68187012,104.45879831,"30m buffer",75,3,0,0,0
"116","BBS","CT-BBS-2-09",-5.68187012,104.45879831,"60m buffer",75,13,0,0,0
"117","BBS","CT-BBS-2-09",-5.68187012,104.45879831,"120m buffer",75,49,0,0,0
"118","BBS","CT-BBS-2-10",-5.6819749,104.484013,"30m buffer",75,2,0,0,0
"119","BBS","CT-BBS-2-10",-5.6819749,104.484013,"60m buffer",75,12,0,0,0
"120","BBS","CT-BBS-2-10",-5.6819749,104.484013,"120m buffer",75,46,0,0,0
"121","BBS","CT-BBS-2-11",-5.68125556,104.49670237,"30m buffer",75,2,0,0,0
"122","BBS","CT-BBS-2-11",-5.68125556,104.49670237,"60m buffer",75,14,0,0,0
"123","BBS","CT-BBS-2-11",-5.68125556,104.49670237,"120m buffer",75,46,0,0,0
"124","BBS","CT-BBS-2-12",-5.68165161,104.5092955,"30m buffer",75,2,0,0,0
"125","BBS","CT-BBS-2-12",-5.68165161,104.5092955,"60m buffer",75,12,0,0,0
"126","BBS","CT-BBS-2-12",-5.68165161,104.5092955,"120m buffer",75,46,0,0,0
"127","BBS","CT-BBS-2-13",-5.68160039,104.52175722,"30m buffer",75,3,0,0,0
"128","BBS","CT-BBS-2-13",-5.68160039,104.52175722,"60m buffer",75,13,0,0,0
"129","BBS","CT-BBS-2-13",-5.68160039,104.52175722,"120m buffer",75,49,0,0,0
"130","BBS","CT-BBS-2-14",-5.66909141,104.45873545,"30m buffer",75,4,0,0,0
"131","BBS","CT-BBS-2-14",-5.66909141,104.45873545,"60m buffer",75,13,0,0,0
"132","BBS","CT-BBS-2-14",-5.66909141,104.45873545,"120m buffer",75,49,0,0,0
"133","BBS","CT-BBS-2-15",-5.66917799,104.4713632,"30m buffer",75,3,0,0,0
"134","BBS","CT-BBS-2-15",-5.66917799,104.4713632,"60m buffer",75,10,0,0,0
"135","BBS","CT-BBS-2-15",-5.66917799,104.4713632,"120m buffer",75,45,0,0,0
"136","BBS","CT-BBS-2-16",-5.66939902,104.48403278,"30m buffer",75,3,0,0,0
"137","BBS","CT-BBS-2-16",-5.66939902,104.48403278,"60m buffer",75,14,0,0,0
"138","BBS","CT-BBS-2-16",-5.66939902,104.48403278,"120m buffer",75,48,0,0,0
"139","BBS","CT-BBS-2-17",-5.6693142,104.49660824,"30m buffer",75,4,0,0,0
"140","BBS","CT-BBS-2-17",-5.6693142,104.49660824,"60m buffer",75,13,0,0,0
"141","BBS","CT-BBS-2-17",-5.6693142,104.49660824,"120m buffer",75,48,0,0,0
"142","BBS","CT-BBS-2-18",-5.66915972,104.50918327,"30m buffer",75,2,0,0,0
"143","BBS","CT-BBS-2-18",-5.66915972,104.50918327,"60m buffer",75,10,0,0,0
"144","BBS","CT-BBS-2-18",-5.66915972,104.50918327,"120m buffer",75,45,0,0,0
"145","BBS","CT-BBS-2-19",-5.66931739,104.52179887,"30m buffer",75,4,0,0,0
"146","BBS","CT-BBS-2-19",-5.66931739,104.52179887,"60m buffer",75,12,0,0,0
"147","BBS","CT-BBS-2-19",-5.66931739,104.52179887,"120m buffer",75,52,0,0,0
"148","BBS","CT-BBS-2-20",-5.65647455,104.47128969,"30m buffer",75,4,0,0,0
"149","BBS","CT-BBS-2-20",-5.65647455,104.47128969,"60m buffer",75,13,0,0,0
"150","BBS","CT-BBS-2-20",-5.65647455,104.47128969,"120m buffer",75,49,0,0,0
"151","BBS","CT-BBS-2-21",-5.65671092,104.48409439,"30m buffer",75,3,0,0,0
"152","BBS","CT-BBS-2-21",-5.65671092,104.48409439,"60m buffer",75,12,0,0,0
"153","BBS","CT-BBS-2-21",-5.65671092,104.48409439,"120m buffer",75,47,0,0,0
"154","BBS","CT-BBS-2-22",-5.65655393,104.49657815,"30m buffer",75,4,0,0,0
"155","BBS","CT-BBS-2-22",-5.65655393,104.49657815,"60m buffer",75,13,0,0,0
"156","BBS","CT-BBS-2-22",-5.65655393,104.49657815,"120m buffer",75,49,0,0,0
"157","BBS","CT-BBS-2-23",-5.6566157,104.50945803,"30m buffer",75,3,0,0,0
"158","BBS","CT-BBS-2-23",-5.6566157,104.50945803,"60m buffer",75,10,0,0,0
"159","BBS","CT-BBS-2-23",-5.6566157,104.50945803,"120m buffer",75,46,0,0,0
"160","BBS","CT-BBS-2-24",-5.6441954,104.47118911,"30m buffer",75,3,0,0,0
"161","BBS","CT-BBS-2-24",-5.6441954,104.47118911,"60m buffer",75,12,0,0,0
"162","BBS","CT-BBS-2-24",-5.6441954,104.47118911,"120m buffer",75,47,0,0,0
"163","BBS","CT-BBS-2-25",-5.64394243,104.48417326,"30m buffer",75,2,0,0,0
"164","BBS","CT-BBS-2-25",-5.64394243,104.48417326,"60m buffer",75,10,0,0,0
"165","BBS","CT-BBS-2-25",-5.64394243,104.48417326,"120m buffer",75,46,0,0,0
"166","BBS","CT-BBS-2-26",-5.6436556,104.49682667,"30m buffer",75,3,0,0,0
"167","BBS","CT-BBS-2-26",-5.6436556,104.49682667,"60m buffer",75,13,0,0,0
"168","BBS","CT-BBS-2-26",-5.6436556,104.49682667,"120m buffer",75,48,0,0,0
"169","BBS","CT-BBS-2-27",-5.64346273,104.50922786,"30m buffer",75,4,0,0,0
"170","BBS","CT-BBS-2-27",-5.64346273,104.50922786,"60m buffer",75,13,0,0,0
"171","BBS","CT-BBS-2-27",-5.64346273,104.50922786,"120m buffer",75,48,0,0,0
"172","BBS","CT-BBS-2-28",-5.61838014,104.47141265,"30m buffer",75,3,0,0,0
"173","BBS","CT-BBS-2-28",-5.61838014,104.47141265,"60m buffer",75,11,0,0,0
"174","BBS","CT-BBS-2-28",-5.61838014,104.47141265,"120m buffer",75,46,0.0217391304347826,0,0
"175","BBS","CT-BBS-2-29",-5.61908749,104.48420168,"30m buffer",75,3,0,0,0
"176","BBS","CT-BBS-2-29",-5.61908749,104.48420168,"60m buffer",75,12,0,0,0
"177","BBS","CT-BBS-2-29",-5.61908749,104.48420168,"120m buffer",75,48,0,0,0
"178","BBS","CT-BBS-2-30",-5.60545265,104.47136421,"30m buffer",75,2,0,0,0
"179","BBS","CT-BBS-2-30",-5.60545265,104.47136421,"60m buffer",75,12,0,0,0
"180","BBS","CT-BBS-2-30",-5.60545265,104.47136421,"120m buffer",75,46,0,0,0
"181","BCI","CT-BCI-1-01",9.09248210999997,-79.8509020500006,"30m buffer",75,3,0,0,0
"182","BCI","CT-BCI-1-01",9.09248210999997,-79.8509020500006,"60m buffer",75,10,0,0,0
"183","BCI","CT-BCI-1-01",9.09248210999997,-79.8509020500006,"120m buffer",75,48,0,0,0
"184","BCI","CT-BCI-1-02",9.09232604,-79.8381292800006,"30m buffer",75,4,0,0,0
"185","BCI","CT-BCI-1-02",9.09232604,-79.8381292800006,"60m buffer",75,13,0,0,0
"186","BCI","CT-BCI-1-02",9.09232604,-79.8381292800006,"120m buffer",75,49,0,0,0
"187","BCI","CT-BCI-1-03",9.10517038999997,-79.8634156400005,"30m buffer",75,4,0,0,0
"188","BCI","CT-BCI-1-03",9.10517038999997,-79.8634156400005,"60m buffer",75,13,0,0,0
"189","BCI","CT-BCI-1-03",9.10517038999997,-79.8634156400005,"120m buffer",75,49,0,0,0
"190","BCI","CT-BCI-1-04",9.10529904999999,-79.8508853700005,"30m buffer",75,3,0,0,0
"191","BCI","CT-BCI-1-04",9.10529904999999,-79.8508853700005,"60m buffer",75,11,0,0,0
"192","BCI","CT-BCI-1-04",9.10529904999999,-79.8508853700005,"120m buffer",75,47,0,0,0
"193","BCI","CT-BCI-1-05",9.10516149999996,-79.8380148700006,"30m buffer",75,3,0,0,0
"194","BCI","CT-BCI-1-05",9.10516149999996,-79.8380148700006,"60m buffer",75,13,0,0,0
"195","BCI","CT-BCI-1-05",9.10516149999996,-79.8380148700006,"120m buffer",75,49,0,0,0
"196","BCI","CT-BCI-1-06",9.10511841999999,-79.8123551000007,"30m buffer",75,4,0,0,0
"197","BCI","CT-BCI-1-06",9.10511841999999,-79.8123551000007,"60m buffer",75,12,0,0,0
"198","BCI","CT-BCI-1-06",9.10511841999999,-79.8123551000007,"120m buffer",75,52,0,0,0
"199","BCI","CT-BCI-1-07",9.11815856999999,-79.8508131100006,"30m buffer",75,2,0,0,0
"200","BCI","CT-BCI-1-07",9.11815856999999,-79.8508131100006,"60m buffer",75,12,0,0,0
"201","BCI","CT-BCI-1-07",9.11815856999999,-79.8508131100006,"120m buffer",75,47,0,0,0
"202","BCI","CT-BCI-1-08",9.11803401000003,-79.8378773200006,"30m buffer",75,2,0,0,0
"203","BCI","CT-BCI-1-08",9.11803401000003,-79.8378773200006,"60m buffer",75,11,0,0,0
"204","BCI","CT-BCI-1-08",9.11803401000003,-79.8378773200006,"120m buffer",75,47,0,0,0
"205","BCI","CT-BCI-1-09",9.11801817,-79.8251219100005,"30m buffer",75,3,0,0,0
