site,sp,Site.sp,median.coeff,ind95,ind80,cont,rls,mass,class,guild,nyears,site_type,Hunted
UDZ,Petrodromus tetradactylus,Petrodromus tetradactylus-UDZ,0.112969683,stable,stable,AF,LC,188,MAMMALIA,Insectivore,5,extractive,Unknown
UDZ,Syncerus caffer,Syncerus caffer-UDZ,0.059184313,stable,stable,AF,LC,580003,MAMMALIA,Herbivore,5,extractive,Yes
UDZ,Crocuta crocuta,Crocuta crocuta-UDZ,-0.195700343,stable,stable,AF,LC,63000,MAMMALIA,Carnivore,5,extractive,No
UDZ,Thryonomys swinderianus,Thryonomys swinderianus-UDZ,0.354420553,stable,increasing,AF,LC,4060,MAMMALIA,Herbivore,5,extractive,Yes
UDZ,Rhynchocyon udzungwensis,Rhynchocyon udzungwensis-UDZ,-0.038313587,stable,stable,AF,VU,750,MAMMALIA,Insectivore,5,extractive,Unknown
UDZ,Leptailurus serval,Leptailurus serval-UDZ,-5.90E-16,stable,stable,AF,LC,12000,MAMMALIA,Carnivore,5,extractive,Unknown
BIF,Cephalophus nigrifrons,Cephalophus nigrifrons-BIF,0.154537377,stable,stable,AF,LC,13900,MAMMALIA,Herbivore,4,settled,Yes
BIF,Thryonomys swinderianus,Thryonomys swinderianus-BIF,-0.425039756,stable,stable,AF,LC,4060,MAMMALIA,Herbivore,4,settled,No
BIF,Atherurus africanus,Atherurus africanus-BIF,-0.66917643,decreasing,decreasing,AF,LC,1934,MAMMALIA,Omnivore,4,settled,No
BIF,Cephalophus silvicultor,Cephalophus silvicultor-BIF,-0.267178634,decreasing,decreasing,AF,LC,72500,MAMMALIA,Herbivore,4,settled,No
BIF,Cercopithecus lhoesti,Cercopithecus lhoesti-BIF,0.210590502,stable,stable,AF,VU,5375,MAMMALIA,Omnivore,4,settled,No
BIF,Potamochoerus larvatus,Potamochoerus larvatus-BIF,0.08265831,stable,stable,AF,LC,48781,MAMMALIA,Omnivore,4,settled,Yes
BIF,Pan troglodytes,Pan troglodytes-BIF,0.047417658,stable,stable,AF,EN,45000,MAMMALIA,Omnivore,4,settled,No
BIF,Caracal aurata,Caracal aurata-BIF,-0.432945816,decreasing,decreasing,AF,NT,16000,MAMMALIA,Carnivore,4,settled,No
BIF,Canis adustus,Canis adustus-BIF,-0.161785728,stable,stable,AF,LC,10250,MAMMALIA,Carnivore,4,settled,Yes
BIF,Nandinia binotata,Nandinia binotata-BIF,1.28E-16,stable,stable,AF,LC,2000,MAMMALIA,Omnivore,4,settled,No
BIF,Cricetomys gambianus,Cricetomys gambianus-BIF,0.268612047,increasing,increasing,AF,LC,1285,MAMMALIA,Omnivore,4,settled,No
BIF,Loxodonta africana,Loxodonta africana-BIF,0.738286303,increasing,increasing,AF,VU,3940034,MAMMALIA,Herbivore,4,settled,No
BIF,Mellivora capensis,Mellivora capensis-BIF,-0.432503066,stable,decreasing,AF,LC,9000,MAMMALIA,Carnivore,4,settled,No
BIF,Atilax paludinosus,Atilax paludinosus-BIF,-0.789438901,stable,stable,AF,LC,3300,MAMMALIA,Carnivore,4,settled,No
BIF,Tragelaphus spekii,Tragelaphus spekii-BIF,1.41E-16,stable,stable,AF,LC,77999,MAMMALIA,Herbivore,4,settled,No
BIF,Genetta servalina,Genetta servalina-BIF,-0.468178957,stable,decreasing,AF,LC,1055,MAMMALIA,Carnivore,4,settled,No
BIF,Tragelaphus scriptus,Tragelaphus scriptus-BIF,0.784053621,stable,increasing,AF,LC,43250,MAMMALIA,Herbivore,4,settled,No
BIF,Leptailurus serval,Leptailurus serval-BIF,0.784053621,stable,increasing,AF,LC,12000,MAMMALIA,Carnivore,4,settled,No
BIF,Gorilla beringei,Gorilla beringei-BIF,-0.161785728,stable,stable,AF,EN,124251,MAMMALIA,Herbivore,4,settled,No
BIF,Cephalophus weynsi,Cephalophus weynsi-BIF,0.425039756,stable,stable,AF,LC,2001,MAMMALIA,Herbivore,4,settled,Yes
BIF,Cricetomys emini,Cricetomys emini-BIF,1.24385089,increasing,increasing,AF,LC,1300,MAMMALIA,Omnivore,4,settled,No
BIF,Cercopithecus mitis,Cercopithecus mitis-BIF,0.249256079,stable,stable,AF,LC,5000,MAMMALIA,Omnivore,4,settled,No
BIF,Civettictis civetta,Civettictis civetta-BIF,3.34E-11,stable,stable,AF,LC,12000,MAMMALIA,Omnivore,4,settled,No
BIF,Papio anubis,Papio anubis-BIF,-0.129917338,stable,decreasing,AF,LC,21250,MAMMALIA,Omnivore,4,settled,No
BIF,Phataginus tricuspis,Phataginus tricuspis-BIF,-0.13571061,stable,stable,AF,NT,1800,MAMMALIA,Insectivore,4,settled,No
BIF,Thryonomys gregorianus,Thryonomys gregorianus-BIF,0.13571061,stable,stable,AF,LC,2707,MAMMALIA,Herbivore,4,settled,No
PSH,Macaca fascicularis,Macaca fascicularis-PSH,0.54599704,increasing,increasing,AS,LC,4750,MAMMALIA,Omnivore,3,settled,Yes
PSH,Macaca nemestrina,Macaca nemestrina-PSH,0.846033095,increasing,increasing,AS,VU,6500,MAMMALIA,Omnivore,3,settled,Yes
PSH,Tupaia glis,Tupaia glis-PSH,-0.049112874,stable,stable,AS,LC,159,MAMMALIA,Omnivore,3,settled,Yes
